"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"58";"silverstreak1";"646717";"249475";"199902";"247746";"19264963";"169139";"124139";"1.3624969";"0.14130029";"7303";"12759";"0.5723803";"2.0141757";"3346";"31569";"454359";"128934";"38271.65";"17573.564";"216145.8";"10890";"17619"
"59";"vespezien";"734725";"241941";"280035";"228409";"23521762";"244189";"146938";"1.6618506";"0.18736327";"6536";"12703";"0.5145241";"1.874158";"1352";"71958";"652010";"7214";"26571.445";"18671.84";"283110.38";"1021";"1170"
"60";"markjayw";"2049716";"576492";"693160";"819522";"32743306";"638554";"191097";"3.3415177";"0.14351152";"17200";"12676";"1.356895";"3.7559726";"2888";"233846";"1117303";"469356";"27784.928";"6519.723";"1028886.1";"4039";"222284"
"61";"Ingenera";"781467";"154486";"79007";"561559";"16503673";"73137";"31235";"2.341508";"0.1593759";"10380";"12523";"0.8288749";"2.8410656";"3344";"11112";"261589";"490705";"8952.871";"3090.0615";"215595.27";"5363";"9354"
"62";"obrigadosenhor";"851954";"295306";"250101";"352442";"23026642";"230912";"186219";"1.2400024";"0.12294255";"7393";"12484";"0.592198";"2.2199173";"1012";"5133";"831648";"12561";"21448.822";"11964.89";"610674.6";"663";"937"
"63";"viperhawk86";"-8543301";"-9526133";"477994";"550891";"28874472";"-9597491";"10234845";"-0.93772703";"0.23974395";"10140";"12470";"0.81315154";"-17.75264";"22759";"13996";"-8609621";"14622";"80877.31";"18166.03";"163684.83";"10352";"4591"
"64";"LOBO1969";"1729576";"840634";"332189";"628863";"29066324";"296975";"329623";"0.90095353";"0.18439226";"11090";"12459";"0.8901196";"3.570268";"15118";"17936";"1617599";"45725";"53862.773";"22505.275";"299138.56";"17438";"15760"
"65";"alcalu";"542838";"115029";"38476";"399768";"15945095";"35193";"54933";"0.64065313";"0.17523654";"8611";"12415";"0.6935965";"2.042652";"4708";"4701";"256759";"260306";"8273.787";"2342.1814";"28116.61";"886";"15478"
"66";"freakyevil";"1294318";"484532";"220832";"617917";"20426719";"208348";"127656";"1.632105";"0.18384";"10662";"12410";"0.8591459";"3.801838";"11407";"36655";"791853";"414031";"20216.826";"14896.408";"549925.2";"7387";"32985"
"67";"mkdz";"611536";"202850";"200581";"222448";"19423035";"185697";"78265";"2.3726697";"0.123117775";"4906";"12320";"0.39821428";"1.8891052";"7544";"5914";"573988";"10861";"13505.145";"7240.004";"583521.25";"329";"12900"
"68";"Lusitano12";"2001484388";"2000444171";"922293";"144203";"11804116";"171289";"95140";"1.8003889";"0.14892967";"3900";"12310";"0.31681558";"10173.491";"-1426035712";"26381";"3427465226";"16838";"17655.018";"3349.1062";"145599.92";"8921";"2734"
"69";"spin-_-n";"629319";"575427";"1187";"63813";"9593434";"1092";"191818";"0.0056928964";"0.008023377";"1802";"12307";"0.14642073";"3.935936";"248";"355";"585686";"42093";"708.18964";"110.06792";"2597.2952";"956";"-19"
"70";"gundog3gsp";"880875";"320543";"194893";"382326";"13551822";"174837";"100565";"1.7385472";"0.13434525";"9871";"12303";"0.80232465";"3.900029";"383";"9647";"40312";"819631";"18808.354";"21046.428";"120978.25";"322";"10580"
"71";"LeatherHeart";"369496";"155707";"126513";"106313";"13879796";"107246";"93778";"1.1436157";"0.14190632";"4301";"12292";"0.34990236";"1.5972685";"728";"5750";"329967";"11455";"17413.957";"11822.778";"212690.27";"279";"21317"
"72";"nitinkumar";"641238";"297191";"72637";"317569";"16132768";"220459";"44354";"4.9704423";"0.1973931";"5999";"12229";"0.49055523";"2.384853";"42775";"1999838198";"-1999361975";"96807";"21477.658";"5635.846";"121323.53";"8411";"17022"
"73";"love-nectar";"1046352";"427886";"169061";"475148";"16172056";"159398";"104443";"1.5261722";"0.1912238";"9610";"12138";"0.79172844";"3.8820739";"17763";"16962";"759295";"220915";"16577.86";"6981.512";"144708.12";"5851";"25566"
